School Name,Type,Budget,Size,Student Name,Grade,Math Score,Reading Score
Huang High School,District,1910635,2917,Jason Dennis,10th,57,72
Huang High School,District,1910635,2917,Gary Morris,11th,58,74
Huang High School,District,1910635,2917,William Mcdonald,12th,74,86
Huang High School,District,1910635,2917,Michael Savage,9th,66,75
Huang High School,District,1910635,2917,Alexis Todd,11th,95,82
Huang High School,District,1910635,2917,David Hansen,10th,86,76
Huang High School,District,1910635,2917,Steven Mendez,12th,88,68
Huang High School,District,1910635,2917,Ryan Lynch,12th,67,77
Huang High School,District,1910635,2917,Timothy Marks,9th,62,78
Huang High School,District,1910635,2917,Alexander Johns,10th,77,67
Huang High School,District,1910635,2917,Kenneth Chavez,9th,79,70
Huang High School,District,1910635,2917,Dennis Williams,10th,67,88
Huang High School,District,1910635,2917,Michael Roy,12th,73,85
Huang High School,District,1910635,2917,Richard Ryan,12th,86,88
Huang High School,District,1910635,2917,Matthew Reyes,12th,60,79
Huang High School,District,1910635,2917,Stephanie Ward,11th,69,75
Huang High School,District,1910635,2917,Christopher Tucker,10th,90,80
Huang High School,District,1910635,2917,Daniel Jones,12th,68,66
Huang High School,District,1910635,2917,Devin Craig,10th,80,65
Huang High School,District,1910635,2917,Erin Prince,12th,81,88
Huang High School,District,1910635,2917,Bernard Ortiz,11th,76,78
Huang High School,District,1910635,2917,Nicole Miller,10th,57,98
Huang High School,District,1910635,2917,Christopher Fritz,9th,77,88
Huang High School,District,1910635,2917,Bonnie Mckinney,11th,65,63
Huang High School,District,1910635,2917,Troy Nelson,11th,63,79
Huang High School,District,1910635,2917,Jennifer Lee,12th,66,93
Huang High School,District,1910635,2917,Ronald Ward,10th,89,74
Huang High School,District,1910635,2917,Nathaniel Hampton,11th,81,70
Huang High School,District,1910635,2917,Michael Travis,11th,79,65
Huang High School,District,1910635,2917,James Taylor,9th,71,77
Huang High School,District,1910635,2917,Thomas Strickland,9th,77,63
Huang High School,District,1910635,2917,Brittany Jackson,9th,57,79
Huang High School,District,1910635,2917,Marisa Lowe,9th,95,95
Huang High School,District,1910635,2917,Nicole Thomas,9th,59,83
Huang High School,District,1910635,2917,Matthew Rodriguez,12th,79,80
Huang High School,District,1910635,2917,Kent Fernandez,12th,58,66
Huang High School,District,1910635,2917,Michelle Martin,12th,92,86
Huang High School,District,1910635,2917,John Sparks,9th,91,74
Huang High School,District,1910635,2917,Ann Blake,11th,75,97
Huang High School,District,1910635,2917,Melissa Miller,12th,67,76
Huang High School,District,1910635,2917,Steven Houston,9th,71,99
Huang High School,District,1910635,2917,Kristen Anderson,11th,76,78
Huang High School,District,1910635,2917,Cory Jones,11th,73,82
Huang High School,District,1910635,2917,Jennifer Mora,10th,73,98
Huang High School,District,1910635,2917,Dennis Griffin,9th,71,78
Huang High School,District,1910635,2917,Darryl Brown,10th,90,98
Huang High School,District,1910635,2917,Martin Mosley,10th,67,90
Huang High School,District,1910635,2917,Joyce Diaz,10th,58,85
Huang High School,District,1910635,2917,Jeffrey Rose,12th,91,81
Huang High School,District,1910635,2917,Jamie Moreno,9th,99,78
Huang High School,District,1910635,2917,Catherine Williams,9th,56,66
Huang High School,District,1910635,2917,Lauren Byrd,11th,92,66
Huang High School,District,1910635,2917,Vanessa Frazier,10th,82,85
Huang High School,District,1910635,2917,Stephen Bryant,11th,77,83
Huang High School,District,1910635,2917,Lawrence Liu,12th,73,82
Huang High School,District,1910635,2917,Joseph Larsen,9th,82,88
Huang High School,District,1910635,2917,Susan Collier,11th,92,76
Huang High School,District,1910635,2917,Meagan Jensen,9th,67,66
Huang High School,District,1910635,2917,Julie Harper,12th,73,88
Huang High School,District,1910635,2917,Meghan Carroll,12th,98,75
Huang High School,District,1910635,2917,Wanda Horton,11th,88,68
Huang High School,District,1910635,2917,Mary Campbell,10th,56,72
Huang High School,District,1910635,2917,Jennifer Rodgers,11th,98,83
Huang High School,District,1910635,2917,Heather Cooper,12th,61,85
Huang High School,District,1910635,2917,Ryan Perez,11th,87,70
Huang High School,District,1910635,2917,Ryan Cox,12th,72,95
Huang High School,District,1910635,2917,Darren Zavala,10th,84,64
Huang High School,District,1910635,2917,Joseph Morales III,10th,85,64
Huang High School,District,1910635,2917,Aaron West,10th,67,98
Huang High School,District,1910635,2917,James Combs,10th,82,65
Huang High School,District,1910635,2917,Curtis Garner,10th,78,79
Huang High School,District,1910635,2917,Sarah Miller,10th,71,94
Huang High School,District,1910635,2917,Samantha Thomas,10th,62,92
Huang High School,District,1910635,2917,Robert Atkins,9th,97,85
Huang High School,District,1910635,2917,Alexis Crawford,10th,82,70
Huang High School,District,1910635,2917,Ryan Maddox,11th,80,80
Huang High School,District,1910635,2917,Jonathan Meyer,9th,79,65
Huang High School,District,1910635,2917,Donna Wagner,10th,61,95
Huang High School,District,1910635,2917,William Kennedy,11th,56,76
Huang High School,District,1910635,2917,Kimberly Martinez,11th,83,84
Huang High School,District,1910635,2917,Matthew Anderson,11th,99,92
Huang High School,District,1910635,2917,Kari Miller,9th,55,88
Huang High School,District,1910635,2917,Jenna Luna,9th,91,73
Huang High School,District,1910635,2917,Justin Contreras,12th,63,89
Huang High School,District,1910635,2917,Mary Fox,11th,92,94
Huang High School,District,1910635,2917,Joseph Perkins,10th,76,96
Huang High School,District,1910635,2917,Kelly Phillips,12th,90,78
Huang High School,District,1910635,2917,Justin Thornton,11th,61,65
Huang High School,District,1910635,2917,Joshua Barber,10th,61,77
Huang High School,District,1910635,2917,Travis Jackson,11th,96,86
Huang High School,District,1910635,2917,Jordan Beasley,10th,59,96
Huang High School,District,1910635,2917,Kevin Allen,12th,63,68
Huang High School,District,1910635,2917,Victoria Harris,11th,59,89
Huang High School,District,1910635,2917,Victoria Joseph,12th,56,72
Huang High School,District,1910635,2917,Brandy Marshall,11th,60,86
Huang High School,District,1910635,2917,Ryan Jimenez,11th,89,63
Huang High School,District,1910635,2917,Michael Chan,9th,69,63
Huang High School,District,1910635,2917,Christopher Phillips,9th,55,86
Huang High School,District,1910635,2917,Kevin Murphy,10th,99,85
Huang High School,District,1910635,2917,Vanessa Harper,12th,85,85
Huang High School,District,1910635,2917,James Ferguson,9th,66,96
Huang High School,District,1910635,2917,Carol Schroeder,12th,61,83
Huang High School,District,1910635,2917,Jerry Phillips,10th,72,82
Huang High School,District,1910635,2917,Kristin Wade,9th,56,71
Huang High School,District,1910635,2917,Jessica Warner,11th,83,94
Huang High School,District,1910635,2917,Dorothy Burke,11th,92,91
Huang High School,District,1910635,2917,Bethany Walter,9th,76,88
Huang High School,District,1910635,2917,Melissa Avery,9th,86,83
Huang High School,District,1910635,2917,Daniel Sutton,11th,96,86
Huang High School,District,1910635,2917,Ryan Johnson,9th,79,63
Huang High School,District,1910635,2917,Timothy Quinn,10th,76,83
Huang High School,District,1910635,2917,Zachary Allen,10th,87,64
Huang High School,District,1910635,2917,Lauren Schmitt,12th,61,71
Huang High School,District,1910635,2917,Stephanie Armstrong,11th,66,70
Huang High School,District,1910635,2917,Ruben Rivera,9th,79,65
Huang High School,District,1910635,2917,Patricia Petty,12th,98,79
Huang High School,District,1910635,2917,Joseph Jacobs,11th,68,96
Huang High School,District,1910635,2917,Bianca Wilson,11th,62,66
Huang High School,District,1910635,2917,Donald Perez,9th,79,87
Huang High School,District,1910635,2917,Curtis Gomez,9th,77,77
Huang High School,District,1910635,2917,Courtney Brown,9th,88,90
Huang High School,District,1910635,2917,Nicole Randall,9th,78,94
Huang High School,District,1910635,2917,Steven Lambert,11th,56,64
Huang High School,District,1910635,2917,Anthony Alvarez,10th,90,93
Huang High School,District,1910635,2917,Shawn Farrell,10th,87,89
Huang High School,District,1910635,2917,Jesus Schmidt,9th,76,80
Huang High School,District,1910635,2917,Laura Wright,12th,69,89
Huang High School,District,1910635,2917,Steven Smith,11th,65,66
Huang High School,District,1910635,2917,Norman Thompson,9th,78,99
Huang High School,District,1910635,2917,Anthony Wright,10th,64,76
Huang High School,District,1910635,2917,Kayla Watts,11th,89,74
Huang High School,District,1910635,2917,Aimee Johnson,9th,55,97
Huang High School,District,1910635,2917,Heidi Scott,12th,98,77
Huang High School,District,1910635,2917,Anthony Williams,10th,93,78
Huang High School,District,1910635,2917,Sarah Hill,12th,97,88
Huang High School,District,1910635,2917,Kim Wang,9th,71,90
Huang High School,District,1910635,2917,Beth Manning,11th,92,88
Huang High School,District,1910635,2917,Ryan Hanson,12th,83,87
Huang High School,District,1910635,2917,James Wood,9th,81,70
Huang High School,District,1910635,2917,Corey Greene,10th,94,70
Huang High School,District,1910635,2917,John Carter,11th,83,95
Huang High School,District,1910635,2917,Beth Garza,11th,92,75
Huang High School,District,1910635,2917,Karen Jones,9th,96,78
Huang High School,District,1910635,2917,Stephanie Poole,10th,59,95
Huang High School,District,1910635,2917,Lisa Brown,9th,72,99
Huang High School,District,1910635,2917,Paul Scott,10th,78,64
Huang High School,District,1910635,2917,Evelyn Buck,10th,60,68
Huang High School,District,1910635,2917,Terry Harrell,9th,69,86
Huang High School,District,1910635,2917,Leah Skinner,11th,79,70
Huang High School,District,1910635,2917,Anthony Mercado,11th,97,95
Huang High School,District,1910635,2917,Walter Kelly,9th,78,80
Huang High School,District,1910635,2917,Lori Evans,10th,66,99
Huang High School,District,1910635,2917,Ashley Jones,12th,72,96
Huang High School,District,1910635,2917,Amber Soto,9th,60,82
Huang High School,District,1910635,2917,Patrick Phillips,10th,62,64
Huang High School,District,1910635,2917,Linda Curry,11th,76,74
Huang High School,District,1910635,2917,Alexander Obrien,10th,90,68
Huang High School,District,1910635,2917,Vincent Garza,10th,61,97
Huang High School,District,1910635,2917,Terry Marsh,11th,69,99
Huang High School,District,1910635,2917,Angela Perkins DVM,11th,56,76
Huang High School,District,1910635,2917,Peter Hampton,9th,97,83
Huang High School,District,1910635,2917,David Cross,11th,61,68
Huang High School,District,1910635,2917,Clinton Ortega,10th,62,93
Huang High School,District,1910635,2917,Jamie Escobar,10th,91,91
Huang High School,District,1910635,2917,Sandra Mason,12th,83,76
Huang High School,District,1910635,2917,Craig Cole,12th,92,83
Huang High School,District,1910635,2917,Lisa Warren,12th,81,70
Huang High School,District,1910635,2917,Maria Howard,9th,91,74
Huang High School,District,1910635,2917,Michael Porter,11th,68,86
Huang High School,District,1910635,2917,John Turner,11th,99,78
Huang High School,District,1910635,2917,Timothy Wang,12th,75,93
Huang High School,District,1910635,2917,Amanda Taylor,9th,58,73
Huang High School,District,1910635,2917,Karen Mckenzie,9th,64,82
Huang High School,District,1910635,2917,Brandon Miles,11th,76,98
Huang High School,District,1910635,2917,Christina Whitaker,12th,89,86
Huang High School,District,1910635,2917,Nicole Peterson,9th,98,78
Huang High School,District,1910635,2917,Ashley Moore,9th,74,67
Huang High School,District,1910635,2917,Todd Carrillo,10th,99,80
Huang High School,District,1910635,2917,Robert Williams,10th,68,63
Huang High School,District,1910635,2917,Ashley Jones,9th,72,92
Huang High School,District,1910635,2917,Vanessa Parker,9th,78,67
Huang High School,District,1910635,2917,Robert Carlson,12th,82,73
Huang High School,District,1910635,2917,Jared Lewis,10th,56,77
Huang High School,District,1910635,2917,Christopher Hernandez,10th,64,92
Huang High School,District,1910635,2917,Kimberly Harris,9th,59,66
Huang High School,District,1910635,2917,Katrina Hill,10th,73,73
Huang High School,District,1910635,2917,Heather Lee,9th,69,71
Huang High School,District,1910635,2917,Donald Harmon,11th,67,63
Huang High School,District,1910635,2917,Elizabeth Sanders,10th,64,82
Huang High School,District,1910635,2917,Richard Ramsey,12th,60,80
Huang High School,District,1910635,2917,Carmen Johnson,12th,79,89
Huang High School,District,1910635,2917,Elaine Osborne,10th,69,91
Huang High School,District,1910635,2917,Kent Burns,9th,72,81
Huang High School,District,1910635,2917,Meagan Smith,11th,87,67
Huang High School,District,1910635,2917,Craig Hahn,9th,73,92
Huang High School,District,1910635,2917,Jeremy Wu,11th,81,72
Huang High School,District,1910635,2917,Aaron Rodriguez,11th,78,75
Huang High School,District,1910635,2917,Matthew Taylor,10th,63,64
Huang High School,District,1910635,2917,Diana Evans,11th,94,96
Huang High School,District,1910635,2917,Michele Pearson,12th,98,89
Huang High School,District,1910635,2917,Erik Wagner,12th,61,92
Huang High School,District,1910635,2917,Maria Welch,12th,97,74
Huang High School,District,1910635,2917,Debra Martin,12th,55,68
Huang High School,District,1910635,2917,Devon Conner,9th,89,91
Huang High School,District,1910635,2917,Christine Patel,9th,94,99
Huang High School,District,1910635,2917,David Lopez,9th,95,95
Huang High School,District,1910635,2917,Nathan Baird,11th,59,68
Huang High School,District,1910635,2917,Samuel Castillo,11th,57,98
Huang High School,District,1910635,2917,Rebecca Payne,11th,66,77
Huang High School,District,1910635,2917,Carl Johnson,10th,95,64
Huang High School,District,1910635,2917,William Adams,12th,82,85
Huang High School,District,1910635,2917,Paula Harrison,11th,91,81
Huang High School,District,1910635,2917,Wayne Atkinson,11th,63,86
Huang High School,District,1910635,2917,Lindsay Frank,9th,66,92
Huang High School,District,1910635,2917,Jose Garcia,10th,84,67
Huang High School,District,1910635,2917,Andrew Gaines,12th,87,68
Huang High School,District,1910635,2917,Rachael Liu,10th,79,77
Huang High School,District,1910635,2917,Donald Lewis,11th,72,72
Huang High School,District,1910635,2917,Shane Edwards,9th,59,74
Huang High School,District,1910635,2917,Todd Levy,12th,94,91
Huang High School,District,1910635,2917,Joanna Moore,10th,66,84
Huang High School,District,1910635,2917,Michael Lewis,9th,90,98
Huang High School,District,1910635,2917,James Robinson,9th,60,91
Huang High School,District,1910635,2917,Jeffrey Arellano,9th,87,89
Huang High School,District,1910635,2917,Heather Allen MD,11th,94,96
Huang High School,District,1910635,2917,Lori Villarreal,9th,81,66
Huang High School,District,1910635,2917,Robert Harper,12th,85,78
Huang High School,District,1910635,2917,Karen Villegas,9th,57,76
Huang High School,District,1910635,2917,Tracey Crane,9th,97,77
Huang High School,District,1910635,2917,Elizabeth Allen,9th,77,73
Huang High School,District,1910635,2917,Jorge Lynn,11th,66,93
Huang High School,District,1910635,2917,Harold Gordon,11th,66,98
Huang High School,District,1910635,2917,Nicholas Mcclain,9th,90,76
Huang High School,District,1910635,2917,Tanya Harris,11th,86,85
Huang High School,District,1910635,2917,Amy Smith,12th,93,93
Huang High School,District,1910635,2917,Kathy Morse,11th,91,64
Huang High School,District,1910635,2917,Andrea Wood,10th,70,77
Huang High School,District,1910635,2917,Maureen Massey,9th,76,98
Huang High School,District,1910635,2917,Daniel Smith,11th,81,66
Huang High School,District,1910635,2917,Alexandra Smith,11th,77,78
Huang High School,District,1910635,2917,Caitlin Hall,11th,58,72
Huang High School,District,1910635,2917,Jose Carlson,11th,91,90
Huang High School,District,1910635,2917,Deborah Macias,9th,87,90
Huang High School,District,1910635,2917,Dwayne Rice,11th,78,99
Huang High School,District,1910635,2917,Matthew Harris,10th,80,69
Huang High School,District,1910635,2917,Eric Bowman,9th,94,80
Huang High School,District,1910635,2917,Samuel Ali,9th,91,66
Huang High School,District,1910635,2917,David Miller,12th,92,70
Huang High School,District,1910635,2917,James Moreno,11th,63,89
Huang High School,District,1910635,2917,Brooke Austin,11th,98,78
Huang High School,District,1910635,2917,Alisha Martin,10th,68,65
Huang High School,District,1910635,2917,Neil Rodriguez,10th,69,98
Huang High School,District,1910635,2917,Gary Williams,10th,56,73
Huang High School,District,1910635,2917,Michael Pittman,12th,60,89
Huang High School,District,1910635,2917,Stephanie Palmer,10th,91,85
Huang High School,District,1910635,2917,Christine Perry,11th,97,92
Huang High School,District,1910635,2917,Suzanne David,10th,62,83
Huang High School,District,1910635,2917,Amber Smith,12th,75,82
Huang High School,District,1910635,2917,Ryan Jones,9th,62,94
Huang High School,District,1910635,2917,Emily Ford,9th,61,79
Huang High School,District,1910635,2917,Kelsey Shea,12th,66,85
Huang High School,District,1910635,2917,Katherine Wallace,12th,56,65
Huang High School,District,1910635,2917,Erica Conway,11th,72,79
Huang High School,District,1910635,2917,Tyler Parker,11th,56,88
Huang High School,District,1910635,2917,Michael Parks,9th,58,93
Huang High School,District,1910635,2917,Elizabeth Hunt,12th,58,91
Huang High School,District,1910635,2917,Grant Jackson,11th,61,78
Huang High School,District,1910635,2917,Daniel Matthews,9th,78,78
Huang High School,District,1910635,2917,Diana Silva,9th,82,69
Huang High School,District,1910635,2917,Frank Garza,11th,95,84
Huang High School,District,1910635,2917,Terri Fischer,10th,55,68
Huang High School,District,1910635,2917,Robert Goodwin,12th,92,95
Huang High School,District,1910635,2917,Bobby Ruiz,10th,97,65
Huang High School,District,1910635,2917,Stephanie Taylor,12th,97,75
Huang High School,District,1910635,2917,Erin Hill,10th,98,68
Huang High School,District,1910635,2917,Erin Cohen,10th,74,71
Huang High School,District,1910635,2917,Jeffrey Morris,9th,57,84
Huang High School,District,1910635,2917,Elizabeth Simpson,10th,63,97
Huang High School,District,1910635,2917,Jennifer Davis,11th,68,96
Huang High School,District,1910635,2917,Rachel Burton,9th,75,75
Huang High School,District,1910635,2917,Joseph Wilkins,9th,95,66
Huang High School,District,1910635,2917,Lawrence Montgomery,11th,70,87
Huang High School,District,1910635,2917,Patricia Howard,11th,65,70
Huang High School,District,1910635,2917,Jessica Hanson,11th,55,84
Huang High School,District,1910635,2917,Donna Dean,10th,77,98
Huang High School,District,1910635,2917,Edwin Reid,9th,57,69
Huang High School,District,1910635,2917,Jodi Brown,12th,85,70
Huang High School,District,1910635,2917,Elizabeth Richard,9th,88,90
Huang High School,District,1910635,2917,Aaron Martinez,9th,72,85
Huang High School,District,1910635,2917,Stephen Fischer,9th,88,81
Huang High School,District,1910635,2917,Diana Reeves,11th,83,86
Huang High School,District,1910635,2917,Jeffrey Eaton,10th,90,99
Huang High School,District,1910635,2917,Evelyn Miller,9th,71,65
Huang High School,District,1910635,2917,Christopher Kidd,9th,55,97
Huang High School,District,1910635,2917,Sarah Adams,9th,62,91
Huang High School,District,1910635,2917,Melinda Nelson,12th,82,75
Huang High School,District,1910635,2917,Kevin Brooks,11th,72,78
Huang High School,District,1910635,2917,John Bowen,12th,56,77
Huang High School,District,1910635,2917,Tracie Abbott,12th,69,72
Huang High School,District,1910635,2917,Allen Foster,11th,65,93
Huang High School,District,1910635,2917,Kathryn Elliott,12th,91,63
Huang High School,District,1910635,2917,Christopher Walker,12th,66,94
Huang High School,District,1910635,2917,Cynthia Martin,11th,59,67
Huang High School,District,1910635,2917,Amanda Bennett,11th,97,88
Huang High School,District,1910635,2917,Dennis Padilla,11th,93,92
Huang High School,District,1910635,2917,Antonio Miller,11th,63,63
Huang High School,District,1910635,2917,Melissa Trevino,11th,56,71
Huang High School,District,1910635,2917,Andrew King,10th,80,99
Huang High School,District,1910635,2917,John Martinez,11th,76,68
Huang High School,District,1910635,2917,Lauren King,9th,82,74
Huang High School,District,1910635,2917,Stephanie Mercado,9th,98,93
Huang High School,District,1910635,2917,William Smith,11th,94,69
Huang High School,District,1910635,2917,Jonathan Marshall,12th,72,86
Huang High School,District,1910635,2917,Luke Lowery MD,10th,82,93
Huang High School,District,1910635,2917,Emily Reynolds,9th,99,88
Huang High School,District,1910635,2917,Kevin Mclean,9th,80,86
Huang High School,District,1910635,2917,Elizabeth Taylor,11th,84,97
Huang High School,District,1910635,2917,Pamela Rivas,11th,58,84
Huang High School,District,1910635,2917,Tammy Martin,9th,64,84
Huang High School,District,1910635,2917,Holly Watkins,9th,74,81
Huang High School,District,1910635,2917,Patrick Chen,9th,79,67
Huang High School,District,1910635,2917,Michelle Griffin,10th,81,85
Huang High School,District,1910635,2917,Theresa Andrews,12th,58,65
Huang High School,District,1910635,2917,Alan Henry,9th,81,63
Huang High School,District,1910635,2917,Dr. Larry Hines,10th,59,91
Huang High School,District,1910635,2917,Travis Frazier,12th,68,75
Huang High School,District,1910635,2917,Julie Jones,12th,68,74
Huang High School,District,1910635,2917,Natalie Reynolds,10th,70,77
Huang High School,District,1910635,2917,Jessica Cohen,10th,98,69
Huang High School,District,1910635,2917,Jason Robinson,12th,95,69
Huang High School,District,1910635,2917,Heather Palmer,9th,57,78
Huang High School,District,1910635,2917,Emily Cardenas MD,10th,87,77
Huang High School,District,1910635,2917,Scott Glover,12th,92,65
Huang High School,District,1910635,2917,Jacqueline White,12th,67,68
Huang High School,District,1910635,2917,Mrs. Elizabeth Espinoza DDS,9th,75,76
Huang High School,District,1910635,2917,Toni Porter,11th,72,92
Huang High School,District,1910635,2917,Jennifer Mejia,11th,59,90
Huang High School,District,1910635,2917,Brenda Peterson,10th,78,75
Huang High School,District,1910635,2917,Paul Hamilton,9th,72,73
Huang High School,District,1910635,2917,Patricia Nguyen,11th,56,83
Huang High School,District,1910635,2917,James Ho,12th,61,86
Huang High School,District,1910635,2917,Elizabeth Cohen,10th,61,97
Huang High School,District,1910635,2917,Stephanie Lane,9th,57,70
Huang High School,District,1910635,2917,Dawn Rhodes,12th,66,67
Huang High School,District,1910635,2917,Theresa Robinson,10th,65,63
Huang High School,District,1910635,2917,Breanna Mosley,9th,79,85
Huang High School,District,1910635,2917,Carmen Wilson,10th,92,69
Huang High School,District,1910635,2917,Ian Brown,9th,71,77
Huang High School,District,1910635,2917,Kathleen Matthews,11th,60,96
Huang High School,District,1910635,2917,Bryan Diaz,11th,84,64
Huang High School,District,1910635,2917,Gina Sweeney,11th,59,81
Huang High School,District,1910635,2917,Alan Garcia,10th,60,88
Huang High School,District,1910635,2917,Erik Wheeler,10th,58,94
Huang High School,District,1910635,2917,Stephanie Robles,9th,95,83
Huang High School,District,1910635,2917,Samantha Hanson,9th,61,83
Huang High School,District,1910635,2917,Christopher Williams,11th,83,89
